ed,depth,size,time
7,9,76762475,
7,9,79113852,
7,9,75747884,
7,9,81742503,
7,10,83208764,
7,10,83834636,
7,10,81526900,
7,10,84518395,
7,10,87403833,
7,10,84967455,
7,10,90416126,
7,10,89290364,
7,10,85039498,
7,10,79530807,
7,10,84185482,
7,10,80289556,
7,10,91055942,
7,10,78542011,
7,10,88576724,
7,10,87005611,
7,10,77886559,
7,10,81186765,
7,10,83287095,
7,10,82151693,
7,10,77040118,
7,10,88839329,
7,10,83362892,
7,10,93134435,
7,10,86438822,
7,10,79722563,
7,10,89078042,
7,10,84252529,
7,10,78067922,
7,10,86725476,
7,10,83731342,
7,10,82383115,
7,10,83066418,
7,10,88301144,
7,10,91147261,
7,10,83952654,
7,10,82735478,
7,10,79241963,
7,10,80429156,
7,10,85486230,
